experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
TOFU_grad_ascent,base,Steering,separability_min,-0.0505748577369886,0.6172792595307633,False,-,100
TOFU_grad_ascent,base,Steering,centrality_mean,0.14201254960202728,0.1587094412960938,False,+,100
TOFU_grad_ascent,base,Steering,centrality_std,-0.024245596953990492,0.8107621782830846,False,-,100
TOFU_grad_ascent,base,Steering,centrality_max,0.14274757237474608,0.15654268459309187,False,+,100
TOFU_grad_ascent,base,Steering,centrality_min,0.17613060188745686,0.07962035189358171,False,+,100
TOFU_grad_ascent,base,Steering,isolation_mean,,,False,-,100
TOFU_grad_ascent,base,Steering,isolation_std,,,False,-,100
TOFU_grad_ascent,base,Steering,isolation_max,,,False,-,100
TOFU_grad_ascent,base,Steering,isolation_min,,,False,-,100
TOFU_grad_ascent,base,Steering,cluster_compactness_mean,,,False,-,100
TOFU_grad_ascent,base,Steering,cluster_compactness_std,,,False,-,100
TOFU_grad_ascent,base,Steering,cluster_compactness_max,,,False,-,100
TOFU_grad_ascent,base,Steering,cluster_compactness_min,,,False,-,100
TOFU_grad_ascent,base,Steering,cross_layer_consistency_mean,-0.03240056372647269,0.7489561097424661,False,-,100
TOFU_grad_ascent,base,Steering,cross_layer_consistency_std,-0.10023723512946704,0.32106493525138036,False,-,100
TOFU_grad_ascent,base,Steering,cross_layer_consistency_max,-0.03240056372647269,0.7489561097424661,False,-,100
TOFU_grad_ascent,base,Steering,cross_layer_consistency_min,-0.03240056372647269,0.7489561097424661,False,-,100
TOFU_grad_ascent,base,Prompt,local_density_mean,-0.09068943714082271,0.3695356936346191,False,-,100
TOFU_grad_ascent,base,Prompt,local_density_std,-0.08297233040422622,0.41181256618476886,False,-,100
TOFU_grad_ascent,base,Prompt,local_density_max,-0.09453082849475455,0.3495201172529767,False,-,100
TOFU_grad_ascent,base,Prompt,local_density_min,-0.07111474770793214,0.4819949858970489,False,-,100
TOFU_grad_ascent,base,Prompt,separability_mean,-0.01624403095386104,0.872559215599014,False,-,100
TOFU_grad_ascent,base,Prompt,separability_std,0.05724289186048553,0.5716002948951275,False,+,100
TOFU_grad_ascent,base,Prompt,separability_max,-0.03680876937564662,0.7161692944841339,False,-,100
TOFU_grad_ascent,base,Prompt,separability_min,-0.04650052110376198,0.6459415003405222,False,-,100
TOFU_grad_ascent,base,Prompt,centrality_mean,0.13300784876359903,0.18709358596512274,False,+,100
TOFU_grad_ascent,base,Prompt,centrality_std,-0.024258014494649066,0.8106670703919798,False,-,100
TOFU_grad_ascent,base,Prompt,centrality_max,0.14175960857461636,0.1594602260605139,False,+,100
TOFU_grad_ascent,base,Prompt,centrality_min,0.16979748652993187,0.09123578259691137,False,+,100
TOFU_grad_ascent,base,Prompt,isolation_mean,,,False,-,100
TOFU_grad_ascent,base,Prompt,isolation_std,,,False,-,100
TOFU_grad_ascent,base,Prompt,isolation_max,,,False,-,100
