experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
TOFU_grad_diff,base,Prompt,local_density_mean,0.02793623203937018,0.7826218845627079,0.02145578463369184,0.8321969869927726,False,+,100
TOFU_grad_diff,base,Prompt,local_density_std,-0.08308497450027345,0.41117584716180844,-0.12989197106332798,0.1977273377659361,False,-,100
TOFU_grad_diff,base,Prompt,local_density_max,-0.0685332596855966,0.4980802217930059,-0.040498025567602944,0.6891175983962462,False,-,100
TOFU_grad_diff,base,Prompt,local_density_min,0.06040694827066592,0.5504937461774131,0.0326385371093426,0.7471740731147882,False,+,100
TOFU_grad_diff,base,Prompt,separability_mean,-0.464944251783864,1.0966236666648884e-06,-0.44888199671768214,2.8112244816270107e-06,True,-,100
TOFU_grad_diff,base,Prompt,separability_std,-0.006014645195312678,0.9526408480480684,0.015960331286498777,0.8747667029459542,False,-,100
TOFU_grad_diff,base,Prompt,separability_max,-0.37507870273332,0.00012055628805527256,-0.34553900635194235,0.000429833967798377,True,-,100
TOFU_grad_diff,base,Prompt,separability_min,-0.4730561207690438,6.691849327361762e-07,-0.45849285150168084,1.6097883404072277e-06,True,-,100
TOFU_grad_diff,base,Prompt,centrality_mean,-0.32594627342041455,0.0009351372158018141,-0.33461617396703713,0.0006671446301759164,True,-,100
TOFU_grad_diff,base,Prompt,centrality_std,0.35887048546265127,0.0002458840574677459,0.2592331590772188,0.009202919120384108,True,+,100
TOFU_grad_diff,base,Prompt,centrality_max,-0.013024750230072227,0.8976619730685986,-0.024178757012931647,0.8112741630885039,False,-,100
TOFU_grad_diff,base,Prompt,centrality_min,-0.46968805347954734,8.227759107199774e-07,-0.43682046679236763,5.5274348722531435e-06,True,-,100
TOFU_grad_diff,base,Prompt,isolation_mean,,,,,False,-,100
TOFU_grad_diff,base,Prompt,isolation_std,,,,,False,-,100
TOFU_grad_diff,base,Prompt,isolation_max,,,,,False,-,100
TOFU_grad_diff,base,Prompt,isolation_min,,,,,False,-,100
TOFU_grad_diff,base,Prompt,cluster_compactness_mean,,,,,False,-,100
TOFU_grad_diff,base,Prompt,cluster_compactness_std,,,,,False,-,100
